item_type	item_sku	external_product_id	external_product_id_type	brand_name	feed_product_type	item_name	manufacturer	part_number	standard_price	quantity	migrated_shipping_group_name	main_image_url	product_description	fulfillment_center_id	package_length	package_width	package_height	package_weight	package_weight_unit_of_measure	package_length_unit_of_measure	
craft-supplies	IME211	undefined	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies Festive Flourish 2	Dee's Distinctively	IME211	20.7	0	Migrated Template	https://www.ecstasycrafts.com/	Dee's Distinctively Dies FESTIVE FLOURISH 2 <br>Size: 	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME206	728795254865	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies HOLLY  FRAME 	Dee's Distinctively	IME206	27.9	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME206 HOLLY FRAME.jpg	Dee's Distinctively Dies HOLLY  FRAME <br><br>Dee's Distinctively Dies are a unique line of dies created for   spectacular new dimensions in paper crafting. Compatible with most  leading die-cutting machines.<br><br>1 die <br><br>Size: 3.43" x 4.49"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME240	728795255176	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Cardinal Frame	Dee's Distinctively	IME240	25.85	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME240.jpg	Dee's Distinctively Dies - Cardinal Frame<br><br>This square cardinal frame will add a lovely touch of nature to your projects. This die makes a perfect background for Christmas cards or any nature inspired work.<br><br>3.18" x 3.18"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME250	728795255275	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Fawn	Dee's Distinctively	IME250	10.68	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME250.jpg	Dee's Distinctively Dies - Fawn<br><br>This lovely posed fawn is the perfect die for creating beautiful scene cards and landscapes. Great for any season and a great addition to holiday cards.<br><br>Size: 1.13" x 3.84"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME255	728795255329	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Mini Robins 1	Dee's Distinctively	IME255	15.46	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME255.jpg	Dee's Distinctively Dies - Mini Robins 1<br><br>These mini robins are a perfect addition to your outdoorsy projects. They look great on their own, or try using them with IME264 to decorate your jumbo tree.<br><br>Size: 3.65" x 2.11"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME260	728795255374	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Bow Set 1	Dee's Distinctively	IME260	13.66	2	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME260.jpg	Dee's Distinctively Dies - Bow Set 1<br><br>These bows are a perfect addition to cards for almost any season. Use them alone or with the festive garland dies (IME244 and IME245) to add pretty decorated borders to your projects.<br><br>Size: 2.74" x 2.21"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME265	728795255428	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Mini Robins	Dee's Distinctively	IME265	12.56	-2	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME265.jpg	Dee's Distinctively Dies - Mini Robins<br><br>These mini robins are a perfect addition to your outdoorsy projects. They look great on their own, or try using them with IME264 to decorate your tree.<br><br>Size: 2.92" x 1.73"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME245	728795255220	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Festive Garland 2	Dee's Distinctively	IME245	13.82	2	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME245.jpg	Dee's Distinctively Dies - Festive Garland 2<br><br>This garland will add a lovely festive touch to your holiday projects. Works well with IME244 and IME260 to add more depth and interest to your cards.<br><br>Size 7.36" x 1"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME239	728795255169	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Pine Sprig Frame	Dee's Distinctively	IME239	30	-1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME239.jpg	Dee's Distinctively Dies - Pine Sprig Frame<br><br>This lovely pine frame is an excellent background, perfect for Christmas projects.<br><br>3.25" x 4.5"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME244	728795255213	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Festive Garland 1	Dee's Distinctively	IME244	23.08	-1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME244.jpg	Dee's Distinctively Dies - Festive Garland 1<br><br>This garland will add a lovely festive touch to your holiday projects. Works well with IME245 and IME260 to add more depth and interest to your cards.<br><br>7.39" x 1.42"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
